Particles,Pixel Count,area,dia,,,,,,,,,
1,1,0.019305151,0.15678036,,,,,,,,,
99,76,1.467191452,1.366779491,,,,1.27,,,3.3,,0.384848485
109,117,2.258702629,1.69583888,,,,2.05,,,5.1,,0.401960784
5,301,5.810850354,2.720037584,,,,7.81,,,10.4,,0.750961538
97,362,6.988464546,2.982949784,,,,,,,,,
12,392,7.567619066,3.104092759,,,,,,,,,
46,398,7.68344997,3.127758357,,,,,,,,,
83,412,7.95372208,3.182293745,,,,,,,,,
87,416,8.030942682,3.197704459,,,,,,,,,
23,458,8.841759011,3.355246223,,,,,,,,,
14,474,9.150641422,3.413350043,,,,,,,,,
38,474,9.150641422,3.413350043,,,,,,,,,
21,478,9.227862024,3.427722107,,,,,,,,,
35,488,9.420913531,3.463391352,,,,,,,,,
60,490,9.459523833,3.470481208,,,,,,,,,
20,492,9.498134134,3.477556611,,,,,,,,,
116,515,9.9421526,3.557912569,,,,,,,,,
84,530,10.23172986,3.609354938,,,,,,,,,
79,544,10.50200197,3.656714947,,,,,,,,,
9,551,10.63713802,3.680166406,,,,,,,,,
59,552,10.65644317,3.683504426,,,,,,,,,
77,554,10.69505348,3.690171408,,,,,,,,,
53,560,10.81088438,3.710100471,,,,,,,,,
11,562,10.84949468,3.716719746,,,,,,,,,
41,576,11.11976679,3.762728638,,,,,,,,,
62,580,11.19698739,3.775771064,,,,,,,,,
93,580,11.19698739,3.775771064,,,,,,,,,
2,586,11.3128183,3.795250666,,,,,,,,,
64,587,11.33212345,3.798487554,,,,,,,,,
80,590,11.3900389,3.808181711,,,,,,,,,
67,591,11.40934405,3.811407617,,,,,,,,,
8,598,11.54448011,3.833912961,,,,,,,,,
108,602,11.62170071,3.846714042,,,,,,,,,
98,608,11.73753161,3.865836185,,,,,,,,,
3,629,12.14293978,3.932031423,,,,,,,,,
94,630,12.16224493,3.935155803,,,,,,,,,
72,641,12.37460159,3.969361673,,,,,,,,,
66,642,12.39390674,3.972456692,,,,,,,,,
103,664,12.81862005,4.039947272,,,,,,,,,
106,665,12.8379252,4.042988256,,,,,,,,,
56,697,13.45569002,4.139120274,,,,,,,,,
110,699,13.49430032,4.145054499,,,,,,,,,
114,709,13.68735183,4.174599096,,,,,,,,,
29,714,13.78387758,4.18929326,,,,,,,,,
33,715,13.80318274,4.192225913,,,,,,,,,
107,739,14.26650635,4.262004229,,,,,,,,,
45,748,14.44025271,4.287878355,,,,,,,,,
15,775,14.96149178,4.364580504,,,,,,,,,
105,788,15.21245873,4.401034428,,,,,,,,,
118,799,15.42481539,4.431645849,,,,,,,,,
112,818,15.79161326,4.484027929,,,,,,,,,
88,846,16.33215747,4.560125957,,,,,,,,,
43,892,17.22019441,4.682460089,,,,,,,,,
27,895,17.27810986,4.690327572,,,,,,,,,
6,966,18.64877556,4.872818332,,,,,,,,,
50,989,19.09279402,4.930486829,,,,,,,,,
113,1042,20.11596701,5.060873904,,,,,,,,,
42,1070,20.65651123,5.128419537,,,,,,,,,
71,1085,20.94608849,5.164241296,,,,,,,,,
37,1099,21.2163606,5.197452194,,,,,,,,,
115,1130,21.81482027,5.270245898,,,,,,,,,
19,1210,23.35923232,5.453613328,,,,,,,,,
49,1238,23.89977654,5.51635211,,,,,,,,,
61,1296,25.01947528,5.644092958,,,,,,,,,
36,1315,25.38627314,5.685315018,,,,,,,,,
96,1382,26.67971824,5.828350736,,,,,,,,,
73,1404,27.10443155,5.874558204,,,,,,,,,
26,1457,28.12760454,5.984411282,,,,,,,,,
44,1490,28.76467451,6.051803126,,,,,,,,,
48,1517,29.28591358,6.106388726,,,,,,,,,
52,1528,29.49827024,6.128487918,,,,,,,,,
47,1558,30.07742476,6.188357343,,,,,,,,,
89,1571,30.32839172,6.214121632,,,,,,,,,
24,1581,30.52144322,6.233867858,,,,,,,,,
58,1624,31.3515647,6.318073438,,,,,,,,,
10,1656,31.96932952,6.380016816,,,,,,,,,
16,1660,32.04655013,6.387717503,,,,,,,,,
104,1721,33.22416432,6.504023359,,,,,,,,,
7,1780,34.36316821,6.614570632,,,,,,,,,
86,1859,35.88827511,6.759761169,,,,,,,,,
91,1860,35.90758026,6.761579042,,,,,,,,,
17,1956,37.76087473,6.933876185,,,,,,,,,
65,1975,38.12767259,6.9674716,,,,,,,,,
111,2001,38.62960651,7.013183486,,,,,,,,,
85,2005,38.70682711,7.020189665,,,,,,,,,
31,2021,39.01570952,7.048144737,,,,,,,,,
78,2050,39.57555889,7.098532707,,,,,,,,,
13,2054,39.65277949,7.105454729,,,,,,,,,
81,2056,39.6913898,7.108913213,,,,,,,,,
54,2203,42.52924695,7.358662855,,,,,,,,,
100,2333,45.03891653,7.572669911,,,,,,,,,
95,2416,46.64124404,7.706197268,,,,,,,,,
70,2516,48.57175911,7.864062846,,,,,,,,,
57,2707,52.25904289,8.157099973,,,,,,,,,
34,2744,52.97333346,8.212657486,,,,,,,,,
25,2926,56.48687089,8.480643712,,,,,,,,,
22,3204,61.85370277,8.874377745,,,,,,,,,
117,3209,61.95022853,8.881299498,,,,,,,,,
18,3231,62.37494184,8.911691341,,,,,,,,,
39,3262,62.97340151,8.95434113,,,,,,,,,
82,3296,63.62977664,9.000885947,,,,,,,,,
51,3377,65.19349384,9.110814147,,,,,,,,,
90,3699,71.40975236,9.535288175,,,,,,,,,
75,4025,77.70323148,9.946598769,,,,,,,,,
76,4380,84.55655997,10.37597012,,,,,,,,,
101,4412,85.17432479,10.41380423,,,,,,,,,
63,4784,92.35584085,10.84394341,,,,,,,,,
69,4897,94.53732287,10.9712651,,,,,,,,,
28,5328,102.8578428,11.44389239,,,,,,,,,
92,5730,110.6185134,11.86776582,,,,,,,,,
4,5766,111.3134988,11.90498839,,,,,,,,,
40,7065,136.3908895,13.17794651,,,,,,,,,
55,7510,144.9816816,13.58662615,,,,,,,,,
68,7900,152.5106904,13.9349432,,,,,,,,,
74,8493,163.9586447,14.44848193,,,,,,,,,
30,8668,167.3370461,14.59657989,,,,,,,,,
32,9296,179.4606807,15.11609855,,,,,,,,,
102,11451,221.0632804,16.77696369,,,,,,,,,
