Particles,Pixel Count,Particle_Area,dia,,,,,,
97,12,0.231661808,0.543102463,,,,,,
20,32,0.617764822,0.886882609,,,,,,
23,35,0.675680274,0.927524033,,,,,,
27,51,0.984562685,1.119634411,,,,,area,0.019305
134,66,1.274139945,1.273688176,,,,,length,0.13894
46,76,1.467191452,1.366777893,,,,,,
58,88,1.69885326,1.470728423,,,,,,
69,92,1.776073862,1.503782626,,,,,,
190,102,1.969125369,1.583402168,,,,,,
187,110,2.123566575,1.644324365,,,,,,
4,121,2.335923232,1.724581943,,,,,,
135,125,2.413143835,1.752855662,,,,,,
182,128,2.471059287,1.773765217,,,,,,
54,134,2.586890191,1.814861754,,,,,,
136,160,3.088824109,1.983129801,,,,,,
6,167,3.223960163,2.026046389,,,,,,
170,174,3.359096218,2.068072566,,,,,,
179,174,3.359096218,2.068072566,,,,,,
157,182,3.513537424,2.115080218,,,,,,
72,184,3.552147725,2.126669785,,,,,,
74,186,3.590758026,2.138196535,,,,,,
143,192,3.70658893,2.172409852,,,,,,
92,197,3.803114684,2.200514641,,,,,,
129,203,3.918945588,2.233773674,,,,,,
66,204,3.938250738,2.239268821,,,,,,
13,211,4.073386793,2.277363611,,,,,,
94,212,4.092691944,2.282753829,,,,,,
78,219,4.227827999,2.320134739,,,,,,
105,221,4.2664383,2.330704884,,,,,,
98,229,4.420879505,2.372514583,,,,,,
2,230,4.440184656,2.377689103,,,,,,
86,236,4.55601556,2.408502774,,,,,,
163,238,4.594625862,2.418686764,,,,,,
165,240,4.633236163,2.428828052,,,,,,
128,242,4.671846464,2.438927173,,,,,,
12,245,4.729761916,2.453997927,,,,,,
89,247,4.768372218,2.463993887,,,,,,
67,248,4.787677368,2.46897669,,,,,,
198,250,4.82628767,2.478912251,,,,,,
176,251,4.84559282,2.483865127,,,,,,
177,251,4.84559282,2.483865127,,,,,,
81,254,4.903508272,2.498664852,,,,,,
186,255,4.922813423,2.503578652,,,,,,
174,259,5.000034026,2.523138157,,,,,,
196,260,5.019339176,2.528004387,,,,,,
64,262,5.057949478,2.537708855,,,,,,
84,262,5.057949478,2.537708855,,,,,,
85,262,5.057949478,2.537708855,,,,,,
68,270,5.212390683,2.576161179,,,,,,
70,270,5.212390683,2.576161179,,,,,,
146,270,5.212390683,2.576161179,,,,,,
153,272,5.251000985,2.585684913,,,,,,
183,272,5.251000985,2.585684913,,,,,,
192,273,5.270306135,2.590433649,,,,,,
9,278,5.366831889,2.614047936,,,,,,
16,278,5.366831889,2.614047936,,,,,,
50,278,5.366831889,2.614047936,,,,,,
88,278,5.366831889,2.614047936,,,,,,
175,280,5.40544219,2.623434135,,,,,,
36,283,5.463357642,2.637450801,,,,,,
57,285,5.501967943,2.646754008,,,,,,
87,285,5.501967943,2.646754008,,,,,,
37,288,5.559883395,2.660647825,,,,,,
48,288,5.559883395,2.660647825,,,,,,
